feature,train_missing_rate,test_missing_rate,test_minus_train_missing_rate,target_rate_missing,target_rate_present,target_rate_missing_minus_present,absolute_target_rate_delta,meaningful_at_0.003,n_missing_train
age,0.04184306788415448,0.0578396365869957,0.01599656870284122,0.713401776763801,0.7092506491153916,0.004151127648409414,0.004151127648409414,True,28929
daily_screen_time_hours,0.13864376331597164,0.11065736984563047,-0.027986393470341167,0.711300519540134,0.7091223562798586,0.002178163260275312,0.002178163260275312,False,95854
social_media_hours,0.19381111967704656,0.1599617957354321,-0.03384932394161447,0.7094145303929251,0.7094267045107953,-1.2174117870134005e-05,1.2174117870134005e-05,False,133995
gaming_hours,0.18343460583277527,0.2005386396311871,0.017104033798411827,0.7105053579454507,0.7091815044956319,0.0013238534498187793,0.0013238534498187793,False,126821
work_study_hours,0.07451592420256042,0.09374557039776985,0.01922964619520942,0.7106448231686012,0.7093260774774127,0.0013187456911885054,0.0013187456911885054,False,51518
sleep_hours,0.06433612152121371,0.07578416615480152,0.011448044633587812,0.7133767985611511,0.7091525748621479,0.004224223699003216,0.004224223699003216,True,44480
notifications_per_day,0.0977538767286355,0.11549365174720387,0.01773977501856837,0.7102420691287878,0.709335748695464,0.0009063204333238373,0.0009063204333238373,False,67584
app_opens_per_day,0.1167393967620764,0.08675270501042855,-0.02998669175164785,0.7127865196382108,0.7089799708184109,0.0038065488197999153,0.0038065488197999153,True,80710
weekend_screen_time,0.16208855184423948,0.17109908134268415,0.009010529498444664,0.7106538286499559,0.7091865093750108,0.0014673192749450337,0.0014673192749450337,False,112063
gender,0.04199494047317713,0.04796457668189887,0.005969636208721742,0.7087896948405318,0.7094521654449788,-0.0006624706044470186,0.0006624706044470186,False,29034
stress_level,0.07976637656591487,0.06623647494785725,-0.013529901618057616,0.7090012330456227,0.7094610206201933,-0.0004597875745706581,0.0004597875745706581,False,55148
academic_work_impact,0.06396584168512039,0.08680670397094856,0.02284086228582817,0.7094564037626628,0.7094221542312774,3.424953138542186e-05,3.424953138542186e-05,False,44224
